Gene,Name,baseMean,baseMean_N2_OP50,baseMean_N2_BT,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00006928,vit-4,12526.0061464275,24864.1405266697,187.677611038838,-6.78056974944071,0.232767454262793,-29.1302311610346,1.48720822712027e-186,2.54877745963871e-182
WBGene00007097,B0024.4,5775.3329306728,63.7315993860458,11487.0357344928,7.09305860110831,0.271512481050994,26.1242450941919,1.93393732237776e-150,1.6571908915455e-146
WBGene00018725,kreg-1,1048.21023893119,12.6217310700595,2083.91770524689,6.94233670182029,0.274089272075826,25.3287428918404,1.5412688054439e-141,8.80475492923254e-138
WBGene00021590,Y46D2A.2,1222.91493771205,139.773815233989,2306.15986429145,3.96699509364737,0.166579682282079,23.8143994471657,2.36904937915174e-125,1.01501920649756e-121
WBGene00006927,vit-3,11477.2041674938,22793.7554016711,160.305308908737,-6.73209474847001,0.284860523221811,-23.6329508642654,1.76750214890117e-123,6.05829036557365e-120
WBGene00014135,ZK896.4,1493.32409682031,59.2997716244743,2927.64560288089,5.40609224529772,0.234530822056883,23.0506685555663,1.44836602429691e-117,4.13701615406674e-114
WBGene00003092,lys-3,1802.25569455909,18.855343474832,3585.7785399742,7.02218099714518,0.308182584611586,22.7857813769571,6.34409374955782e-115,1.55321540971317e-111
WBGene00008567,acox-1.4,532.472733185761,1038.12981144991,26.6562550503212,-5.08579064915503,0.2283271619031,-22.2741377187239,6.58326974588465e-110,1.41030096131214e-106
WBGene00006627,tsp-1,904.014094541663,10.8875961627355,1797.21033696381,6.81040759475066,0.309523433410595,22.0028820425896,2.70249669029531e-107,5.14615425314234e-104
WBGene00006925,vit-1,19958.7241966098,39497.5163516388,419.785153935903,-6.16084303291526,0.289107819415394,-21.3098457363524,9.199793708158e-101,1.57666064570412e-97
WBGene00000783,cpr-3,2332.29509924677,148.63295477021,4515.97371884948,4.7479403591198,0.226409182622464,20.9706174640318,1.21674689585622e-97,1.89569166374399e-94
WBGene00013073,hmit-1.1,441.292395611254,844.495768461773,38.0024143148482,-4.33184290859365,0.212087653084995,-20.4247764807772,1.00718414615528e-92,1.4384268247341e-89
WBGene00006929,vit-5,62515.018973071,119367.260033767,5662.87229433937,-4.26240923440594,0.210462732767737,-20.2525605286607,3.37246369214122e-91,4.44594482737817e-88
WBGene00005005,spp-20,887.534095565741,0.378867781097184,1774.80278830218,8.52240824502194,0.444661304301412,19.1660667626816,7.10844371586984e-82,8.70175060018409e-79
WBGene00021852,Y54F10AM.8,1720.61171238013,3025.99799155807,415.220194503449,-2.82104163651864,0.150539769050748,-18.7395108568796,2.35785076702482e-78,2.69392309635142e-75
WBGene00044457,C18H7.11,680.425111514203,111.441051988056,1249.43912241336,3.40560799615723,0.183580053911439,18.5510785273008,7.99319580383841e-77,8.56171185538641e-74
WBGene00021121,W09G12.7,2790.73737644917,64.9620235428457,5516.30424502127,5.91755053876812,0.320949634275102,18.4376297923926,6.55524533851943e-76,6.60845850656153e-73
WBGene00018138,folt-2,5016.53401988367,9330.10067943632,703.015928547836,-3.62752200813994,0.199412383138916,-18.1910568994751,6.07571965263057e-74,5.78476018926571e-71
WBGene00008301,pals-39,289.440574065026,9.84703077030876,569.011178532182,5.43033331152296,0.304401920094888,17.8393530166637,3.49721667076495e-71,3.15448943702998e-68
WBGene00007455,ugt-22,510.463252371124,980.926549828603,40.0348676726533,-4.39922830826962,0.255406938178928,-17.2243884196587,1.74259879647238e-66,1.49323290869718e-63
WBGene00001399,fat-7,2235.01141585502,4337.42335208845,132.630776989903,-4.74577778484257,0.281105606953076,-16.8825440242278,6.04813388878151e-64,4.93585326599703e-61
WBGene00004062,pmp-5,3461.34087440881,5839.23779312541,1083.37625744582,-2.39503979374441,0.14564497928625,-16.444369078025,9.20378314520662e-61,7.16974707011596e-58
WBGene00016877,C52D10.3,208.126247354024,401.259234080427,15.0307453887053,-4.46851700961354,0.27738558787783,-16.109405841163,2.19119161081774e-58,1.63272355766062e-55
WBGene00012467,arrd-8,191.024582931622,6.3444668440782,375.506214536546,5.34186146199622,0.336168131378538,15.8904457721517,7.38008873622023e-57,5.26999836505593e-54
